DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Phylum_counts multibar
FIELD_COLORS,#4b89b4,#bfd0e8,#ffa556,#ffcfa0,#4ea04e,#addfa3,#d65b5c,#ffb6b5,#a080bd,#c9bbd5,#8c665e,#c4a8a2,#e397cb,#f7c9dd,#7f7f7f,#c7c7c7,#bcbd50,#dbdba4,#4ec3cf,#b3dde5,#bdbdbd
FIELD_LABELS,Pseudomonadota,Bacillota,Actinomycetota,Bacteroidota,Chloroflexota,Spirochaetota,Verrucomicrobiota,Acidobacteriota,Thermotogota,Planctomycetota,Mycoplasmatota,Lentisphaerota,Ignavibacteriota,Myxococcota,Fusobacteriota,Armatimonadota,Thermodesulfobacteriota,Atribacterota,Balneolota,Calditrichota,Other
#=================================================================#
DATA
node_14579,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_14583,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_14596,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_146,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_14671,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_14673,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_14698,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1473,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_1478,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1480,10,0,56,0,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3
node_15,1,0,4,1,0,2,4,0,1,1,0,23,0,2,0,0,0,0,0,0,3
node_15000,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15128,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15149,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15448,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15465,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15475,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15477,24,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
node_15512,20,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
node_15535,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_15546,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15595,30,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_1561,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15630,29,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
node_1565,17,2,2,9,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
node_15663,9,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15680,13,1,3,0,17,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,6
node_15724,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
node_15730,23,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
node_15757,11,1,4,0,10,0,1,7,0,0,0,0,0,0,0,3,0,0,0,0,3
node_15796,43,2,195,1,23,0,1,1,0,1,0,0,0,2,0,5,1,0,0,0,7
node_159,0,17,1,0,5,6,2,1,0,9,0,19,0,0,0,0,0,0,0,0,11
node_1602,1,8,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16080,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
node_16086,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16100,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
node_16111,12,1,5,0,7,0,1,6,0,6,0,1,0,1,0,1,0,0,0,0,2
node_16153,3,4,0,1,8,1,0,1,0,2,0,1,0,1,0,2,0,0,0,0,4
node_1616,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_16181,10,1,0,0,10,1,0,0,0,4,0,1,0,0,0,3,0,0,0,0,8
node_16218,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16224,9,4,2,2,4,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2
node_1624,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16254,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16256,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16257,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_1628,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16284,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16288,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_16297,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16301,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16314,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16322,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16325,30,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
node_16358,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1636,44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
node_16364,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16372,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16381,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16391,0,27,2,0,8,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0
node_16434,3,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
node_16449,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16452,0,7,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16468,0,23,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
node_16513,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16519,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16524,2,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16531,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16537,0,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16547,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16552,4,10,0,0,3,6,1,0,1,0,0,0,0,4,0,0,0,1,0,2,6
node_16589,19,39,0,2,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
node_16703,0,40,0,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2
node_16753,2,1,0,3,3,5,20,22,0,0,0,0,0,0,0,1,0,0,0,0,3
node_16812,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_16820,54,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
node_1683,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_16905,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16917,1,1,0,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
node_16933,19,13,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_16970,0,48,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17023,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17027,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_17034,19,8,0,0,7,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0
node_17077,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17081,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
